吏덈Ц,left,center,right
나는 액션 영화를 다큐멘터리에 비해 더 선호하는 편이다.,0.10694544315338134,0.19182820618152618,0.7012263059616088
나는 책상을 깔끔하게 유지한다.,0.17475669384002684,0.2212034910917282,0.6040398895740509
일반적인 국민들은 정치에 깊게 관여할 필요가 없다.,0.15962486267089843,0.20262755453586578,0.6377475380897522
전자제품은 최신형을 빠르게 도입해야한다고 생각한다.,0.07246326208114623,0.24680431187152863,0.6807324409484863
팀 활동에서 리더가 명확히 지시를 내리는 것이 효율적이라고 생각한다.,0.14358343482017516,0.1597636342048645,0.6966529905796051
옷차림은 어느 정도 격식을 갖추는 것이 예의라고 생각한다.,0.0867382764816284,0.17526118457317352,0.7380005240440368
"나이, 직급과 같은 서열을 존중하는 문화가 필요하다고 본다.",0.13592748641967772,0.18891899287700653,0.6751535654067993
불편하더라도 공인된 절차와 형식을 따르는 것이 가장 안전하다고 믿는다.,0.07586206793785094,0.18914884328842163,0.7349891185760498
아이들은 어른에게 공손함을 우선적으로 배워야한다고 생각한다.,0.12763147354125975,0.1921960562467575,0.6801723957061767
회사에서는 직원이 받는 만큼 일하는 것이 당연하다고 생각한다.,0.08484338521957396,0.16186419129371643,0.7532924532890319
학생들에게는 경쟁보다는 협동을 통해 학습하는 기회를 더 제공해야 한다.,0.5974056541919708,0.25535890460014343,0.14723544120788573
지역 축제나 커뮤니티 행사에 참여하는 것은 사회적 유대감을 위해 가치있다고 생각한다.,0.6959507286548614,0.24179603159427643,0.062253254652023304
친구들과의 논쟁에서 조화를 유지하는 것이 이기는 것보다 더 중요하다고 본다.,0.7180038809776306,0.21025963127613068,0.07173641324043273
나는 채식을 완전히 하지 않더라도 식단에서 고기를 줄이는 것이 필요하다고 본다.,0.6481412470340728,0.21575261652469635,0.13610618114471434
새로운 기술이나 도구를 배우는 것이 삶의 질을 높이는 데 중요하다고 생각한다.,0.7453054904937744,0.21960756182670593,0.035086917877197255
다른 사람의 의견을 수용하는 것이 강한 주장을 고수하는 것보다 중요하다고 본다.,0.6784784615039825,0.17106503248214722,0.15045641660690307
음악을 들으며 일하거나 공부하는 것이 더 효율적이라고 생각한다.,0.6578643143177032,0.24703185260295868,0.09510381817817687
정해진 식사 시간이 아니어도 배고프면 간단히라도 먹는 편이다.,0.6434602260589599,0.22125272452831268,0.13528700470924376
"나는 다른 사람의 조언을 받을 때, 비판적인 태도로 검토하려고 한다.",0.6109586775302887,0.1898769587278366,0.1991643488407135
집에서 사용하는 전자기기의 에너지 효율성을 중요하게 생각한다,0.6154988229274749,0.1759646236896515,0.2085365831851959
